ParticipantNum,Condition #: ,Analysis Start Time (00:00.00),Analysis End Time (00:00.00),Time of Exclusion (when it starts): ,Total video analysis time (in seconds with hundredths),IncorrectDet,"Any Additional Notes About Recording (e.g. Face was covered at (time), pt head out of frame, Noldus couldn't detect anything, poor video quality, poor lighting, PT wearing glasses, etc) ",Video Analysis/Cleaning Completed by:,PT Analysis doubled checked and 100th of a second added,Total Time of Face Not Detected (FIND_FAIL/FIT_FAIL) During Analysis (in seconds with hundredth),Total Time of Face Incorrectly Detected During Analysis (in seconds with hundredth),Total Time Deleted from Analysis (in seconds with hundredth),Portion of Video Not Usable,Data Exported/Cleaned by:
12,1,06:23.0,15:07.5,7:09,524.53,"06:46.33-06:51.4, 06:59.1-07:04.7, 07:19.4-07:22.7, 09:34.5-09:42.4, ",video looked to have been recorded as mirror image,Saris/Ben/Sabrina,Robert,0.13,24,24.13,0.046003088,Robert
13,2,03:44.0,11:54.5,6:24,490.47,"03:46.2-03:48.0, 03:53.0-03:55.8, 04:01.1-04:04.5, 04:12.27-04:13.0, 04:15.4-04:15.6, 04:19.3-04:24.13, 04:41.2-04:59.4, 05:10.9-05:11.9, 05:53.3-06:01.5,  ",video recorded as mirror image,Sarkis/Ben/Sabs,Robert,7.87,39.13,47,0.095826452,Robert
14,2,05:46.0,14:09.5,6:53,503.45,"05:46.0-05:48.4, 05:50.3-06:08.8, 06:10.8-06:17.1, 06:19.3-06:21.1, 06:22.0-06:40.1, 06:40.5-06:46.7, 06:47.0-07:06.2, 07:07.5-08:16.8, 08:18.2-08:27.8, 08:35.2-08:35.7, 08:36.4-08:36.7, 08:38.1-08:38.5, 08:40.1-08:42.5, 08:43.7-08:44.0, 08:44.9-08:54.3, 09:00.0-09:18.8, 09:19.4-12:00.8, 12:02.8-12:09.6, 12:10.6-12:15.0, 12:17.5-12:22.4, 12:23.2-14:09.5, ",PT wearing glasses.  The frames of the PT's glasses were read as PT's eyes throughout most of the analysis.  Video taken at angle.  Video analysis jumped around for a bit. ,Sarkis/Ben/Sabs,Robert,49.61,,49.61,0.098540073,
15,2,05:04.0,13:53.7,6:50,529.66,"05:18.4-05:21.2, 05:37.4-05:38.4, 05:59.4-06:01.2, 06:32.1-06:50.8, 06:54.6-07:02.3, 07:20.6-07:32.6, 07:32.9-07:37.1, 07:38.2-07:44.2, 07:53.2-08:11.0, 08:12.0-08:14.0, 08:16.8-08:28.7, 08:53.3-09:00.1, 09:06.8-09:13.9, 09:17.0-09:52.6, 10:28.6-10:48.3, 10:51.4-11:01.6, 11:02.2-11:04.8, 11:06.8-11:23.3, 11:27.3-11:42.2, 11:42.7-11:47.0, 11:57.1-12:02.5, 12:33.7-12:34.3, 13:00.8-13:14.1, 13:17.6-13:46.5, ",,Sarkis/Ben/Sabrina,Robert,15.23,253.57,268.8,0.507495374,Robert
16,1,06:05.0,14:17.4,7:45,492.39,"06:07.2-06:28.5, 06:43.9-06:45.6, 06:59.5-07:01.1, 07:09.3-07:09.5, 07:45.6-07:47.9, 08:02.0-08:04.8, 08:31.2-08:33.1, 08:36.8-09:16.2, 09:22.9-09:25.9, 09:36.2-09:51.3, 09:57.6-10:00.0, 10:15.0-10:27.9, 10:33.1-12:15.8, 12:17.02-13:05.6, 13:12.1-13:43.3, 13:56.3-14:17.4,",,Sarkis/Ben/Sabs,Robert,91.39,146.28,237.67,0.482686488,Robert
17,1,05:29.1,14:11.2,7:39,522.1,"05:28.9-05:51.5, 05:54.7-05:55.0, 05:56.5-05:56.7, 05:57.9-05:58.6, 06:01.6-06:06.9, 06:13.4-06:18.2, 06:20.0-06:20.2, 06:27.3-06:27.5, 06:30.7-06:30.9, 06:36.7-06:41.3, 06:44.7-08:10.2, 09:17.1-09:18.3, 09:18.7-09:20.1, 09:22.1-11:09.2, 11:12.9-11:32.9, 11:43.1-11:44.1, 12:29.3-12:39.6, ",PT wearing glasses.  Frames of glasses often misread as PT's eyes.  PT had head down with hair in face a lot. ,Sarkis/Ben/Sabs,Robert,276.31,,276.31,0.529228117,
18,3,04:18.0,12:27.7,6:08,489.67,,"PT wearing glasses, video recorded as mirror image, video very poor quality, noldus guesses where eyes were when not reading the frame of the glasses as the eyes, none of the video appears usable,  12:04:24 AM   <- check file again 28/16",Sarkis/Ben/Sabrina,robert/partick/kim,12.47,,12.47,0.02546613,
19,2,05:30.0,14:08.2,6:24,518.16,"05:39.2-05:40.1, 05:45.7-06:00.5, 06:02.7-06:29.5, 06:32.22-07:04.3, 07:20.7-07:36.3, 07:56.2-07:59.2, 08:16.8-08:43.7, 09:31.6-09:39.2, 09:52.7-10:45.7, 10:49.0-11:02.2, 11:07.0-11:24.8, 11:38.3-12:21.8, 13:00.1-14:08.2","Video recorded as mirror image, ",Sarkis/Ben/Sabrina,Robert,2.01,324.21,326.22,0.629573877,
20,2,03:57.0,11:50.3,5:15,473.33,"04:16.3-04:17.5, 04:31.0-04:37.0, 04:50.9-04:51.2, 04:58.5-04:59.5, 05:04.6-05:07.8, 06:15.5-07:02.1, 07:06.0-07:07.2, 07:08.0-07:09.7, 07:18.8-07:25.0, 07:37.4-08:12.2, 08:33.4-08:33.8, 08:53.0-09:33.9, 09:38.2-09:42.8, 10:08.0-10:08.2, 1012:7-10:21.8, 10:38.3-10:39.2, 10:46.8-10:47.2, 11:09.4-11:19.5, ",Video may have been recorded as mirror image (researcher appears to be on incorrect side),Sarkis/Ben/Sabrina,Robert,198.33,164,362.33,0.765491306,
21,3,03:49.0,12:29.3,5:12,520.33,"03:52.4-04:08.4, 04:13.2-04:4.7, 04:22.4-04:42.6, 04:46.1-05:06.20, 05:11.6-05:16.0, 05:31.5-05:47.1, 05:54.8-06:03.8, 06:05.1-06:57.2, 7:00.7-07:10.7, 07:12.2-07:29.0, 07:39.3-07:40.0, 07:42.8-08:01.4, 08:14.6-08:21.7, 08:24.8-08:25.0, 08:34.2-08:36.2, 08:49.8-08:52.7, 08:56.6-09:10.4, 09:15.6-09:18.0, 09:22.9-09:27.0, 09:36.6-09:48.4, 09:50.5-09:56.0, 09:59.1-11:04.1, 11:07.3-11:07.5, 11:12.0-11:39.6, 11:43.2-11:50.0, 11:53.0-12:29.3",PT wearing glasses.  Video recorded as mirror image. Frames of the glasses interfered with noldus reading the eyes correctly.   Lots of times where face was not detected. ,Sarkis/Ben/Sabrina,Robert,248.8,,248.8,0.478158092,
22,2,08:03.0,15:34.9,9:54,451.92," 08:03.6-08:04.8, 08:07.1-08:09.5, 08:15.7-08:18.1, 08:20.2-8:21.2, 08:48.2-08:50.1, 08:52.0-08:52.7, 08:55.2-08:57.0, 09:00.5-09:02.9, 09:11.5-09:12.6, 09:21.7-09:23.6, 09:24.5-09:25.8, 09:31.5-09:32.1, 09:44.0-09:44.6, 09:46.6-09:59.5, 10:29.1-10:33.6, 10:37.5-10:38.7, 10:44.1-10:46.0, 10:55.8-10:59.3, 11:04.0-11:07.1, 11:22.2-11:28.0, 11:36.0-11:36.3, 11:38.1-11:38.3,  11:41.3-11:42.9, 11:44.1-11:46.8, 11:48.0-11:48.8, 11:55.1-11:58.4, 13:03.0-13:03.2, 13:21.8-13:24.1, 13:43.6-13:45.8, 13:50.6-13:53.2, 14:05.0-14:05.7, 14:47.0-14:49.1, 14:49.9-14:55.5, 15:05.0-15:10.0, ","Video recorded as mirror image, ",Kim/Robert,Robert,,,0,0,
23,3,03:46.0,11:53.3,6:12,487.27,"03:54.8-03:56.4, 04:01.1-04:01.4, 04:15.8-04:16.1, 04:25.0-04:25.4, 04:33.5-04:33.7, 04:40.7-04:45.2, 05:02.6-05:03.0, 05:12.0-05:13.0, 06:06.5-06:10.2, 06:25.2-06:28.7, 06:33.1-06:36.2, 06:39.0-06:43.8, 07:58.1-08:11.8, 08:22.2-08:24.2, 08:28.0-08:29.4, 09:37.0-09:37.4, 09:59.3-10:04.5, 10:58.8-10:59.8, 11:25.3-11:25.6, ","Video recoreded as mirror image.  Video quality poor, very dark.  Pt was looking down and leaning forward for a long period of time.",Kim/Robert,Robert,,,0,0,
24,2,05:27.0,13:49.0,7:25,502,"05:28.0-05:31.0, 05:32.8-06:12.5, 06:30.1-06:30.5, 06:35.0-6:38.9, 06:46.4-06:46.6, 06:47.7-06:53.0, 07:09.0-07:28.1, 07:32.7-07:48.9, 07:57.2-07:57.7, 07:59.4-08:00.4, 08:05.3-08:18.4, 08:18.6-08:40.9, ",video recored as mirror image.  PT was wearing glasses. PT had hands in front of face,Kim/Robert,,,,0,0,
25,1,05:03.0,13:31.5,7:50,508.42,"05:03.1-06:29.8, 06:35.0-06:38.6, 06:43.4-06:45.4, 06:58.7-07:10.2, 07:11.6-07:29.0, 07:45.0-07:47.2, 07:47.8-07:53.7, 07:55.6-08:19.8,  09:04.8-09:33.8, 09:42.2-10:07.1, 10:10.6-11:05.0, 11:14.8-11:29.5, 11:53.8-11:54.1, 11:55.3-11:55.6, 11:56.6-11:57.5, ",Video recorded as mirorr image.  Pt kept looking straight down at phone so software was having problems in properly detecting face. ,Sarkis ,Robert,,,0,0,
26,3,04:17.0,12:26.8,5:18,489.8,"04:19.5-04:23.4, 04:27.3-04:39.8, 04:40.6-04:42.4, 04:44.0-04:46.4, 04:48.0-04:59.4, 04:59.8-05:02.4, 05:30.7-05:38.6, 05:41.4-05:41.8, 05:42.2-06:07.0, 06:08.0-06:15.1, 06:16.9-06:21.7, 06:23.2-06:28.0, 06:32.0-06:58.4, 06:58.6-07:07.0, 07:10.0-07:24.5, 07:26.0-09:45.6, 09:49.2-12:25.3, ",,Sarkis ,Robert,,,0,0,
27,2,04:28.0,12:59.8,5:39,511.8,"04:27.9-04:28.3, 04:33.8-04:34.0, 04:37.5-04:40.8, 04:43.9-05:19.7, 05:20.4-05:39.3, 05:39.5-07:41.6, 07:42.6-12:59.8","Video was recordered as mirror image.  Very poor quality video/poor lighting.  Participant kept face straight without really moving for almost all of the time that she was in there. Also I noticed that the software kept detecting the PT as being extremely surprised, even though she seemed neutral throughout most of it. ",Sarkis,Robert,,,0,0,
28,2,07:05.0,15:50.3,8:41,525.38,"07:04.89-07:40.4, 07:43.4-08:48.1, 9:00.4-11:57.9, 11:58.4-13:23.8, 13:24.9-13:26.9, 13:53.6-15:50.4",Video recorded as mirror image.  Hair on left eye made software think it was closed. ,Sarkis ,Robert,,,0,0,
29,2,05:26.0,13:53.7,7:05,507.67,,Video recorded as mirror image.  PT wearing glasses.  PT kept blocking face because she was playing around with her hands. This caused the software to incorrectly detect her face. ,Sarkis,,,,0,0,
30,2,09:22.0,14:49.9,7:11,508.07,"06:21.9-06:28.0, 06:30.1-06:31.4, 06:33.7-06:42.2, 06:45.8-07:40.9, 07:43.5-07:43.7, 07:47.6-07:51.8, 08:01.4-08:21.9, 08:25.8-09:47.6, 09:50.0-09:59.3, 10:00.2-10:39.2, 10:44.4-11:16.7, 11:24.8-11:42.1, 11:45.4-13:19.0, 13:26.2-13:38.6, 13:43.0-13:48.4, 13:52.5-13:56.4, 13:59.1-14:45.6, 14:49.7-14:49.9",Video recorded as mirror image.  Poor quality/poor lighting.  Noldus incorrectly read eyes or mouth for majority of video.  Recommend not using data from this video.  Video Skipped a lot. Has a lot of problems due to poor video quality. ,Sarkis ,Robert,,,0,0,
31,1,04:50.0,13:12.9,8:16,502.93,"04:50.2-06:36.0, 06:46.0-08:50.4, 08:55.1-09:54.0, 09:58.7-10:00.1, 10:01.5-11:12.2, 11:17.1-12:40.2, 12:40.1-13:13.0",Video recorded as mirror image.  Poor quality/poor lighting.  PT ,Sarkis ,Robert,,,0,0,
32,1,08:33.0,17:01.6,10:50,508.54,08:32.95-17:02.23,Video recordered as mirror image.  Very poor quality/poor lighting.  None of the video appears usable,Sarkis,Robert,,,0,0,
33,1,04:20.0,13:32.7,6:37,552.69,"04:44.05-04:51.39, 05:26.62-05:27.16, 05:32.56-06:21.87, 06:22.47-08:07.70, 08:13.77-09:38.11, 09:39.18-12:30.26, ",Video quality poor.,Sarkis ,Robert,,,0,0,
34,3,03:41.0,12:18.8,4:59,517.77,"03:41.27-03:41.27, 03:51.30-04:07.00, 04:07.80-05:22.16, 05:24.36-08:17.53, 08:18.27-10:11.38, 10:11.51-12:18.78, ",Poor video quality.  Eyes very hard to see.  Software detects eyes as closed even though they are not. Most likey due to to the quality of the video. ,Sarkis,Robert,,,0,0,
35,3,02:08.0,10:22.3,4:23,494.33,"02:12.50-03:53.93, 05:06.70-08:07.91, 08:39.71-09:23.15, 09:59.10-09:59.36, ",Video poor quality.  Video was recorded at a lower angle. PT's forehead was partiallyout of frame so software was unable to detect a face for long periods of time. None of the video appears usable,Sarkis,Robert,,,0,0,
36,2,04:37.0,12:53.0,6:07,496.06,"04:37.12-05:18.26, 05:19.79-06:02.14, 06:03.01-06:26.18, 06:39.01-12:53.04",Video recorded as mirror image. Poor quality/poor lighting.,Sarkis,Robert,,,0,0,
37,1,05:32.0,13:48.7,7:31,496.73,"5:31.93-05:43.93, 06:42.27-13:48.73",Video recorded as mirror image. Poor quality/lighting.  At the beginning the PT turned to the side to use their phone so no facial data was captured.  None of video appears usable.,Sarkis,,,,0,0,
38,3,4:14,12:54,5:54,,"4:14-4:15, 5:07-5:08",Video was recorded at a poor angle so most of the time the PT's face was cut in half and no facial data was recorded. ,Sarkis,,,,0,#DIV/0!,
39,1,4:59,13:53,7:24,,"5:58-6:19, 9:20-9:23",This video was recorded at a bad angle so most of the time the software was unable to pick up on any facial data. ,Sarkis,,,,0,#DIV/0!,
40,2,4:55,13:35,6:41,,"8:10-8:11, 8:38-8:39, 9:02-10:25, 12:37-12:38, ",PT covers her face with hands and causes either misreading or no face results at all. ,Sarkis ,,,,0,#DIV/0!,
41,2,4:44,13:42,6:09,,"5:02-5:05, 5:42-5:43, 7:18-7:25, 8:15-8:17, 13:35-12:36, 12:42-12:44",Video quality was poor so detecting the participants face was a lot harder for the software. ,Sarkis ,,,,0,#DIV/0!,
42,1,5:12,14:09,7:49,,"6:12-6:25, 6:34-6:39, 7:22-7:26, 8:11-8:13, 8:51-8:53",,Sarkis,,,,0,#DIV/0!,
43,1,5:26,13:36,8:59,,"5:26-5:33, 5:44-6:47, 7:01-7:09, 7:17-7:35, 9:14-9:16, 9:19-9:20, 9:23-9:34, 9:39-9:40, 9:44-9:45, 10:04-10:07, 10:37-10:39, 11:01-11:12, 11:25-11:29, 12:23-12:25, 12:46-12:47",PT kept covering face causing the software to have problems in detecting proper facial data. ,Sarkis ,,,,0,#DIV/0!,
44,1,7:52,16:24,10:31,,"8:03-8:08, 8:28-8:31, 8:43-8:45, 9:35-9:37, 10:20-10:38",,Sarkis,,,,0,#DIV/0!,
45,3,3:42,11:51,5:23,,"6:19.27-6:22.80, 7:03.80-7:10.33, 11:21.60-11:31.07",,Sarkis,,,,0,#DIV/0!,
46,1,6:46,15:40,9:16,,"6:46.0-7:47.47, 6:53.96-6:55.35, 8:15.10-8:24.66, 9:27.23-9:28.90, 9:29.83-9:52.29, 9:54.36-9:55.43, 9:57.04-9:58.98, 13:41.70-13:42.97, 13:50.05-13:52.93, 15:39.87-15:40.41","PT looking down on phone causing Noldus errors. Also places hand on face, which caused Noldus to think that her hand was a part of her face. ",Sarkis,,,,0,#DIV/0!,
47,2,5:10,13:01,6:17,,"5:10.01-5:16.47, 5:23.4-5:26.22, 5:50.37-5:52, 10:01.66-10:06.1, 10:38.19-10:49.22, 11.01-11:06.30, 11:43.37-11:44.17, ",DELETE LAST 20 SECONDS DURING DATA CLEANING. WENT TOO FAR BEFORE STOPPED. ,Ben,,,,0,#DIV/0!,
48,3,3:07,11:44,5:28,,"3:07.07-3:07.80, 3:10.20-3:10.80, 3:48.73-3:57.07, 4:01.01-4:12.93, 14:16.80-4:20.47, 4:21.93-4:32.67, 4:36.20-4:39.87, 4:40.60-4:48.40, 4:50.67-4:51.07, 4:52.13-4:52.47, 5:00.87-5:01.53, 5:16.27-5:19.00, 6:08.60-6:08.67, 6:21.53-6:22.27, 6:27.00-6:27.67, 6:31.93-6:35.33, 6:36.93-6:40.80, 7:03.40-7:13.00, 7:13.20-7:13.67, 7:18.40-7:22.67, 7:26.87-7:42.20, 8:25.93-8:27.40, 8:40.87-8:44.27, 9:14.53-9:31.47, 9:32.20-9:35.47, 10:33.07-10:38.41, 10:45.87-10:50.67, 10:58.53-11:01.47, 11:09.67-11:30.20, 11:30.67-11:44.73",Hair and glasses get in way and cause errors. ,Sarkis,,,,0,#DIV/0!,
49,3,03:48.0,12:37.4,5:12,529.4,"3:49.0-3:49.20, 4:23.20-4:39.07, 4:50.87-4:54.80, 5:43.40-6:07.00, 6:11.07-6:11.80, 7:00.07-7:06.80, 7:17.33-7:29.33, 7:33.73-7:48.87, 8:00.00-8:10.33, 9:58.47-10:55.67, 11:08.20-11:22.47, 11:33.67-11:34.40, 11:42.27-11:42.33, 11:43.73-11:51.27",,Patrick,,,,0,0,
50,3,4:25,12:46,5:50,0,"4:52.91-4:53.71, 5:24.60-5:24.73, 5:27.07-5:32.02, 5:48.80-5:51.54, 5:52.48-5:54.62, 11:01.90-11:04.84",,Sarkis,,,,0,#DIV/0!,
51,2,4:36,13:05,5:42, ,"5:34.44-5:49.89, 6:11.68-6:20.10",,Sarkis,,,,0,#VALUE!,
52,1,6:11,14:14,8:33,,"6:12.00-6:23.93, 6:26.13-6:26.33, 6:27.47-6:27.53, 6:29.60-6:34.60, 6:53.13-6:41.33, 6:42.60-6:53.00, 6:53.73-6:53.80, 6:54.80-6:55.40, 7:00.27-7:01.00, 7:02.47-7:03.93, 7:12.67-7:13.13, 8:51.00-9:08.67, 9:09.67-9:11.60, 9:12.87-9:30.93, 9:45.33-9:46.33, 9:51.67-10:29.53, 10:38.93-12:52.80, 13:19.47-13:27.60, 13:48.73-13:51.33",PT looking down on phone and wearing glasses causing a lot of problems for Noldus to detect thier facial expressions. ,Sarkis,,,,0,#DIV/0!,
53,1,4:16,12:17,6:43,480.2,"5:58.75-5:58.95, 6:21.06-6:21.05, 6:38.82-6:39.76, 6:45.03-6:45.84, 6:48.44-6:52.71, 7:02.66-7:05.40, 7:09.28-7:11.35, 7:13.15-7:20.63, 7:25.57-7:28.91, 7:53.15-7:55.16, 8:09.45-8:11.38, 8:47.18-8:47.31, 8:49.98-8:51.52, 8:52.99-8:53.66, 8:58.87-8:58.93, 9:00.40-9:02.07, 9:05.48-9:06.28, 9:07.88-9:26.18, 9:29.85-9:29.99, 9:31.52-10:42.11 ",For the last 65 seconds the participant had their hand infront of their face,Patrick/Kim,,,,0,0,
54,1,N/A,N/A,,,,Study did not make it to video recording. Study was cancelled half-way. No Video. ,,,,,0,#DIV/0!,
55,1,6:05,15:35,8:08,,"6:29.82-6:30.02, 9:10.25-9:11.65, 9:13.19-9:13.79, 9:23.01-9:23.48, 9:25.42-9:25.69",Participant had hand in front of her face at a few moments within the video. ,Sarkis ,,,,0,#DIV/0!,
56,2,5:00,13:17,7:29,,"6:58.53-6:59.33, 12:33.67-12:34.07","A lot of ""Face Not Detected"" becuse of the quality of video and PT had bangs covering her forehead and glasses blocking eyes. ",Sarkis ,,,,0,#DIV/0!,
57,2,5:21,14:52,6:31,,"5:23.00-5:23.14, 5:41.35-5:41.95, 5:50.02-5:53.42, 5:56.36-6:03.90, 6:33.45-6:33.72, 6:34.72-6:35.78, 6:37.45-6:38.72, 6:43.79-6:44.12, 6:58.46-7:02.20, 7:.04.00-7:11.81, 7:22.01-7:24.68, 7:25.61-7:27.55, 7:29.48-7:32.82, 9:17.69-9:20.09, 9:22.49-9:29.29, 10:16.28-10:19.39, 10:38.00-10:43.21, 10:51.01-10.52.68, 10:58.28-11:01.15, 11:01.82-11:02.02, 11:02.28-11:02.25, 11:02.48-11:02.68, 11:02.82-11:04.29, 11:04.95-11:05.75, 11:16.29-11:17.16, 11:17.56-11:18.83, 11:27.10-11:28.17, 11:34.57-11:36.84, 12:12.66-12:26.60, 13:37.12-11:39.45, 13:43.12-13:44.92, 14:09.27-14:10.47",,Sarkis ,,,,0,#DIV/0!,
58,1,7:25,15:47,9:34,,"7:33.49-7:34.63, 7:49.66-8:10.99, 8:11.85-8:12.12, 8:14.33-8:35.05, 9:06.33- 9:06.93, 9:07.93-9:09.33, 9:20.83-9:22.10, 13:52.79-13:53.66, 15:15.87-15:28.57",PT kept putting phnie in front of face. ,Sarkis ,,,,0,#DIV/0!,
59,1,7:42,15:50,9:52,494.77,"7:42.00-7:45.95, 7:58.55-7:59.09, 8:00.30-8:00.90, 8:07.94-8:08.47, 8:27.44- 8:28.64, 11:47.41-11:50.09",,Patrick,,,,0,0,
60,2,6:22,14:41,7:59,499.63,"6:28.48-6:47.22, 6:50.32-6:51.77, 7:13.29-7:27.28, 8:14.14-8:25.49, 9:09.38-9:12.62, 9:14.07-9:26.87, 9:39.28-9:39.74, 9:44.23-9:51.56, 10:20.07-10:27.86, 10:27.99-10:33.34, 10:39.67-10:42.05, 11:05.41-11:07.46, 11:24.49-11:36.83, 11:52.07-11:56.03, 11:59.40-12:09.76, 12:12.40-12:14.05, 12:14.98-12:25.01, 12:40.78-12:44.87, 13:21.11-13:46.85, 13:50.02-14:41.63                     ",**First video from computer switch over.**,Patrick,,,,0,0,
61,1,4:16,12:46,5:58,510.64,"4:15.95-4:16.54, 4:19.31-4:20.70, 4:22.75-4:23.41, 4:30.93-4:32.06, 5:11.39- 5:11.59, 5:26.44-5:26.90, 5:52.18-6:03.26, 6:05.84-6:11.05, 6:16.53-6:32.11, 6:40.16-6:42.07, 6:47.22-6:47.48, 7:10.85-7:11.44, 7:52.89-7:53.29, 7:55.00- 7:55.33, 8:04.64-8:05.23, 8:40.21-8:50.18, 9:02.85-9:04.76, 10:09.97-10:10.70, 10:11.03-10:14.92, 11:13.33-11:14.06, 11:23.03-11:23.23, 11:25.21-11:25.41, 11:51.94-11:52.27, 11:57.29-11:57.88, 12:08.64-12:09.30, 12:36.43-12:37.48, 12:43.16-12:43.22              ",,Patrick,,,,0,0,
